EXP True plastic strain,"EXP True stress, Mpa",1 True plastic strain,"1 True stress, Mpa","2 True plastic strain,-","2 True stress, Mpa","3 True plastic strain,-","3 True stress, Mpa","4 True plastic strain,-","4 True stress, Mpa","5 True plastic strain,-","5 True stress, Mpa","6 True plastic strain,-","6 True stress, Mpa","7 True plastic strain,-","7 True stress, Mpa"
7.58E-06,109.965004,0.0164,960.3079884,0.0164,953.9021096,0.0164,954.5426975,0.0164,955.8238732,0.0164,957.105049,0.0164,958.3862248,0.0164,959.6674005
0,110.7140121,0.0166,961.4701318,0.0166,954.7728827,0.0166,955.4426076,0.0166,956.7820574,0.0166,958.1215072,0.0166,959.460957,0.0166,960.8004069
5.02E-06,111.5171204,0.0168,962.6152149,0.0168,955.6340077,0.0168,956.3321284,0.0168,957.7283698,0.0168,959.1246113,0.0168,960.5208527,0.0168,961.9170941
6.27E-06,112.354866,0.017,963.7434881,0.017,956.4857046,0.017,957.211483,0.017,958.6630397,0.017,960.1145964,0.017,961.5661531,0.017,963.0177098
9.47E-06,113.1616592,0.0172,964.8551984,0.0172,957.3281857,0.0172,958.080887,0.0172,959.5862895,0.0172,961.0916921,0.0172,962.5970946,0.0172,964.1024971
6.28E-06,114.0202255,0.0174,965.9505887,0.0174,958.1616562,0.0174,958.9405494,0.0174,960.4983359,0.0174,962.0561225,0.0174,963.613909,0.0174,965.1716955
6.04E-06,114.8640671,0.0176,967.0298988,0.0176,958.9863143,0.0176,959.7906727,0.0176,961.3993896,0.0176,963.0081065,0.0176,964.6168234,0.0176,966.2255403
6.58E-06,115.8664551,0.0178,968.0933645,0.0178,959.8023518,0.0178,960.6314531,0.0178,962.2896556,0.0178,963.9478582,0.0178,965.6060607,0.0178,967.2642633
2.13E-06,116.9038849,0.018,969.1412186,0.018,960.6099542,0.018,961.4630807,0.018,963.1693335,0.018,964.8755864,0.018,966.5818393,0.018,968.2880922
0,117.881485,0.0182,970.1736903,0.0182,961.409301,0.0182,962.2857399,0.0182,964.0386177,0.0182,965.7914956,0.0182,967.5443735,0.0182,969.2972513
0,118.9075012,0.0184,971.1910052,0.0184,962.2005658,0.0184,963.0996097,0.0184,964.8976976,0.0184,966.6957855,0.0184,968.4938734,0.0184,970.2919613
4.41E-06,120.0349274,0.0186,972.193386,0.0186,962.9839169,0.0186,963.9048638,0.0186,965.7467576,0.0186,967.5886514,0.0186,969.4305453,0.0186,971.2724391
0,121.1101227,0.0188,973.1810518,0.0188,963.7595174,0.0188,964.7016708,0.0188,966.5859777,0.0188,968.4702846,0.0188,970.3545915,0.0188,972.2388984
8.41E-07,122.2596283,0.019,974.1542187,0.019,964.5275251,0.019,965.4901944,0.019,967.4155332,0.019,969.3408719,0.019,971.2662106,0.019,973.1915493
